HomeGames,CHI,COL,CLB,DCU,FCD,HOU,LAG,MTL,NE,NYC,RNY,ORL,PHI,POR,RSL,SJ,SEA,SKC,TOR,VAN
1,15731,17692,15826,11592,15236,22351,27000,25245,14189,43507,21036,62510,18022,21144,20281,18000,39782,19784,30226,21000
2,12815,11450,10302,14462,14149,22407,19087,13020,10668,27454,16406,31072,16031,21144,20794,18000,39175,20848,23569,22500
3,13818,13134,15655,16304,18333,19603,27000,12158,13092,20461,20062,32882,18603,21144,20414,18000,39860,19545,17711,21000
4,19124,12944,15553,13047,12929,18924,20018,13020,17982,21891,12540,30908,18106,21144,19715,18000,41451,20087,30029,18083
5,16017,14169,16714,13107,16176,21046,16676,10035,18296,25384,25217,27243,17859,21144,19296,36224,40653,19581,24895,21000
6,15256,17791,13118,16221,13829,19975,20195,17820,24269,23315,20190,40122,16853,21144,20801,18000,39757,18897,16382,20183
7,20124,18209,12265,12532,12640,16018,13391,18112,15216,26211,20053,31430,15374,21144,18895,50422,40194,18864,25032,21000
8,11833,15585,21051,16284,15037,20844,20219,15304,17569,24042,15844,30054,18517,21144,19155,18000,41108,20172,26648,21000
9,18528,18356,11435,11218,19140,22356,23875,17209,15775,48047,18640,23372,18072,21144,20171,18000,39971,21505,24000,21000
10,14092,15248,14429,17105,16215,22651,21207,19213,16017,27533,25219,30513,17531,21144,20956,18000,40410,19835,26397,20298
11,14159,18597,15455,17213,15992,22445,27000,18769,28811,32041,20685,33518,18722,21144,20174,18000,40403,19070,30266,20638
12,14209,16656,21324,19125,21907,21876,27000,20801,21362,27645,22645,26586,18883,21144,20809,18000,53125,19882,20257,21000
13,18317,10439,15514,17288,18172,21257,27000,20801,21723,28262,17184,28495,17608,21144,20338,18000,40453,19969,19692,17583
14,11196,16480,20018,20043,16937,20909,27000,20801,18854,30018,20695,28921,17117,21144,20559,18000,64358,18866,22513,21000
15,20280,15943,20217,19033,16744,18037,27000,17832,10997,25075,21715,22241,17283,21144,21004,18000,39960,18861,18332,21000
16,16694,16048,22719,21517,11848,20343,27000,20801,25885,28231,14961,35421,14784,21144,19457,18000,56097,19496,18143,19339
17,19850,17427,19121,20104,16937,20145,27000,20801,42947,34150,21080,43179,17309,21144,19899,18000,55435,19422,24253,21000
